,decimalLatitude,decimalLongitude,eventDate,Year,Month,Day,Depth,ParentEventID,h0,h1,h2,h3,wind_mag,measurementValue_vol_1m_0.00050m_0.00150m,measurementValue_vol_1m_0.00150m_0.00500m,measurementValue_vol_1m_0.00500m_0.01500m,measurementValue_vol_1m_0.01500m_0.05000m,measurementValue_vol_5m_0.00050m_0.00150m,measurementValue_vol_5m_0.00150m_0.00500m,measurementValue_vol_5m_0.00500m_0.01500m,measurementValue_vol_5m_0.01500m_0.05000m,measurementValue_vol_1m_0.00050m_0.05000m,measurementValue_vol_5m_0.00050m_0.05000m,measurementUnit_vol
0,25.1401,-151.9014,2018-01-11,2018,1,11,0.15,Egger_2020_SR,577445914721910783,582604823279435775,587106773639364607,591610235827781631,4.343983425382744,0.42681139037428734,0.07792698479812828,0.02074673089037728,0.005803604164662754,0.08671889606575864,0.015585397110989746,0.004149346178075456,0.001160720832932551,0.5312887102274556,0.10761436018775639,nm-3
1,28.6633,-147.0067,2018-03-11,2018,3,11,0.15,Egger_2020_SR,577445914721910783,581931922163236863,586434972034793471,590937128553152511,4.343983425382744,0.09546811181185624,0.08570776002304507,0.011155243784541462,0.001981672978466656,0.019397067305412137,0.017141552171086354,0.0022310487569082924,0.00039633459569333123,0.19431278859790943,0.03916600282910011,nm-3
2,28.71,-147.015,2018-03-11,2018,3,11,0.15,Egger_2020_SR,577445914721910783,581931922163236863,586434972034793471,590937128553152511,4.343983425382744,0.13766808314100104,0.09826172325039965,0.010111978805454806,0.006206850730435555,0.027971193981040254,0.01965234484094188,0.0020223957610909613,0.001241370146087111,0.2522486359272911,0.05088730472916021,nm-3
3,28.74,-147.03,2018-03-11,2018,3,11,0.15,Egger_2020_SR,577445914721910783,581931922163236863,586434972034793471,590937128553152511,4.343983425382744,0.04433119745814372,0.0439352604682308,0.004746974109469846,0.0011473685431504243,0.00900714599362526,0.008787052178985285,0.0009493948218939691,0.00022947370863008487,0.0941608005789948,0.0189730667031346,nm-3
4,30.5572,-145.043,2018-11-13,2018,11,13,0.15,Egger_2020_SR,577445914721910783,581918728023703551,586433872523165695,590937265992105983,2.364565076287815,0.21596059620594588,0.09618542512092466,0.031615029600000004,0.0080376425356,0.04319211924118997,0.019237085024184933,0.006323005920000001,0.0016075285071199999,0.35179869346247056,0.0703597386924949,nm-3
5,30.5812,-145.0612,2018-11-13,2018,11,13,0.15,Egger_2020_SR,577445914721910783,581918728023703551,586433872523165695,590937265992105983,2.364565076287815,0.8403163259606435,0.4519831299087622,0.07618701949000001,0.011760313275,0.16806326519213183,0.09039662598175244,0.015237403898,0.002352062655,1.3802467886344056,0.2760493577268842,nm-3
6,30.6117,-145.0833,2018-11-13,2018,11,13,0.15,Egger_2020_SR,577445914721910783,581918728023703551,586433872523165695,590937265992105983,2.364565076287815,0.9830516111114778,0.3741427639966595,0.09612131817,0.019871113977,0.19661032222229918,0.0748285527993319,0.019224263634,0.0039742227954000005,1.4731868072551373,0.2946373614510311,nm-3
7,30.1667,-140.7683,2018-11-29,2018,11,29,0.15,Egger_2020_SR,577445914721910783,581923126070214655,586423976918515711,590927164229025791,4.343983425382744,0.2807006111532891,0.21104326395450815,0.015971029401413463,0.00791012124107331,0.057032327799055524,0.04220865320082858,0.0031942058802826925,0.001582024248214662,0.515625025750284,0.10401721112838144,nm-3
8,30.17,-140.7383,2018-11-29,2018,11,29,0.15,Egger_2020_SR,577445914721910783,581923126070214655,586423976918515711,590927164229025791,4.343983425382744,0.13037996788064024,0.11341158289574564,0.014989061300138115,0.002776648403713317,0.026490405688993364,0.022682316799437916,0.002997812260027623,0.0005553296807426634,0.2615572604802373,0.05272586442920157,nm-3
9,30.1733,-140.705,2018-11-29,2018,11,29,0.15,Egger_2020_SR,577445914721910783,581923126070214655,586423976918515711,590927164229025791,4.343983425382744,0.2811680979163091,0.04841747846661513,0.006961033421393082,0.0013276213636188913,0.05712731105613049,0.009683495787368337,0.0013922066842786164,0.00026552427272377824,0.33787423116793625,0.06846853780050122,nm-3
10,30.7767,-133.435,2018-01-12,2018,1,12,0.15,Egger_2020_SR,577903311559065599,582389319000391679,586889620092878847,591392944842342399,4.343983425382744,2.9634289730136056,0.3549442198289664,0.02738295486858656,0.0027610038854922856,0.6021050396140187,0.07098884465523107,0.0054765909737173124,0.0005522007770984571,3.348517151596651,0.6791226760200656,nm-3
11,30.78,-133.3967,2018-01-12,2018,1,12,0.15,Egger_2020_SR,577903311559065599,582389319000391679,586889620092878847,591392944842342399,4.343983425382744,0.6359548273887327,0.2533244956243902,0.006991297411237035,0.0016563370532746667,0.12921234489660277,0.05066489961693136,0.0013982594822474072,0.00033126741065493334,0.8979269574776345,0.18160677140643644,nm-3
12,30.78,-133.365,2018-01-12,2018,1,12,0.15,Egger_2020_SR,577903311559065599,582389319000391679,586889620092878847,591392944842342399,4.343983425382744,2.5742671686484107,0.5079795361552111,0.03460407539628487,0.007367318137008326,0.5230357297816036,0.10159590821773327,0.0069208150792569745,0.0014734636274016653,3.124218098336915,0.6330259167059955,nm-3
13,31.5483,-123.3117,2018-04-12,2018,4,12,0.15,Egger_2020_SR,577199624117288959,581690029605126143,586189780941799423,590693311849693183,9.346764145949122,0.17265453279363305,0.06486149947967275,0.0,0.0,0.10737240322236344,0.018376042729906915,0.0,0.0,0.2375160322733058,0.12574844595227036,nm-3
14,31.525,-123.31,2018-04-12,2018,4,12,0.15,Egger_2020_SR,577199624117288959,581690029605126143,586189780941799423,590693311849693183,9.346764145949122,0.0,0.0,0.0066335055076962345,0.0,0.0,0.0,0.0013713546350872094,0.0,0.0066335055076962345,0.0013713546350872094,nm-3
15,31.5033,-123.3083,2018-04-12,2018,4,12,0.15,Egger_2020_SR,577199624117288959,581690029605126143,586189780941799423,590693311849693183,9.346764145949122,0.0,0.025067526815831204,0.0,0.0,0.0,0.0071019317714843214,0.0,0.0,0.025067526815831204,0.0071019317714843214,nm-3
0,25.1401,-151.9014,2018-01-11,2018,1,11,0.15,Egger_2020_SR,577445914721910783,582604823279435775,587106773639364607,591610235827781631,4.343983425382744,0.00013180289567265574,0.00026646586412503354,3.588732390245138e-05,0.000142483304796612,2.6779514016670986e-05,5.329317334258561e-05,7.177464780490276e-06,2.84966609593224e-05,0.0005766393884967527,0.00011574681309906928,gm-3
1,28.6633,-147.0067,2018-03-11,2018,3,11,0.15,Egger_2020_SR,577445914721910783,581931922163236863,586434972034793471,590937128553152511,4.343983425382744,1.873108522987521e-05,0.0003027515862367526,0.00047845709730695715,0.00018171650679270565,3.805753712017783e-06,6.055031783541021e-05,9.569141946139143e-05,3.634330135854113e-05,0.0009816562755662905,0.00019639079236736056,gm-3
2,28.71,-147.015,2018-03-11,2018,3,11,0.15,Egger_2020_SR,577445914721910783,581931922163236863,586434972034793471,590937128553152511,4.343983425382744,5.713225450319723e-05,0.0005684720190650845,0.0002212683922365352,0.0003149692913038891,1.1608045502067054e-05,0.00011369440491720756,4.425367844730704e-05,6.299385826077782e-05,0.001161841957108706,0.00023254998712735948,gm-3
3,28.74,-147.03,2018-03-11,2018,3,11,0.15,Egger_2020_SR,577445914721910783,581931922163236863,586434972034793471,590937128553152511,4.343983425382744,1.6799190617839e-05,0.00016804056079522948,0.0001296104790548683,4.7839213820780154e-05,3.4132342716995384e-06,3.3608112485445106e-05,2.5922095810973664e-05,9.56784276415603e-06,0.00036228944428871694,7.251128533227434e-05,gm-3
4,30.5572,-145.043,2018-11-13,2018,11,13,0.15,Egger_2020_SR,577445914721910783,581918728023703551,586433872523165695,590937265992105983,2.364565076287815,0.00011371759708904088,0.00041944791265431273,0.00037712638301,0.000123940447922,2.27435194178086e-05,8.388958253086255e-05,7.5425276602e-05,2.47880895844e-05,0.0010342323406753535,0.00020684646813507113,gm-3
5,30.5812,-145.0612,2018-11-13,2018,11,13,0.15,Egger_2020_SR,577445914721910783,581918728023703551,586433872523165695,590937265992105983,2.364565076287815,0.00046080530177217507,0.0012683106727941218,0.00099384942028,0.004641028672,9.216106035443671e-05,0.00025366213455882435,0.00019876988405600002,0.0009282057344,0.007363994066846297,0.0014727988133692613,gm-3
6,30.6117,-145.0833,2018-11-13,2018,11,13,0.15,Egger_2020_SR,577445914721910783,581918728023703551,586433872523165695,590937265992105983,2.364565076287815,0.0004782224005138532,0.0018491725256647722,0.00256143318541,0.0004336061918,9.56444801027724e-05,0.00036983450513295444,0.000512286637082,8.672123836e-05,0.005322434303388625,0.001064486860677727,gm-3
7,30.1667,-140.7683,2018-11-29,2018,11,29,0.15,Egger_2020_SR,577445914721910783,581923126070214655,586423976918515711,590927164229025791,4.343983425382744,8.214367578637211e-05,0.000385620222736105,0.00043488439528199357,0.0005429813922988977,1.6689828443263865e-05,7.712404529624336e-05,8.697687905639872e-05,0.00010859627845977954,0.0014456296861033683,0.0002893870312556855,gm-3
8,30.17,-140.7383,2018-11-29,2018,11,29,0.15,Egger_2020_SR,577445914721910783,581923126070214655,586423976918515711,590927164229025791,4.343983425382744,4.385508010434199e-05,0.00030596778559582784,0.0004193145031096477,9.796586030309106e-05,8.91040918610185e-06,6.119355771347235e-05,8.386290062192954e-05,1.9593172060618212e-05,0.0008671032291129086,0.00017356003958212196,gm-3
9,30.1733,-140.705,2018-11-29,2018,11,29,0.15,Egger_2020_SR,577445914721910783,581923126070214655,586423976918515711,590927164229025791,4.343983425382744,0.00017598291020752638,0.000348563160542204,0.00041975222017352943,1.9250509772473924e-06,3.575594289143319e-05,6.971263278548413e-05,8.395044403470589e-05,3.850101954494785e-07,0.0009462233419005072,0.00018980402990707268,gm-3
10,30.7767,-133.435,2018-01-12,2018,1,12,0.15,Egger_2020_SR,577903311559065599,582389319000391679,586889620092878847,591392944842342399,4.343983425382744,0.001719597471980822,0.000590290788803242,0.0002829236418596979,7.590868404556094e-05,0.0003493852268489736,0.00011805815890721948,5.6584728371939584e-05,1.5181736809112188e-05,0.002668720586689323,0.0005392098509372448,gm-3
11,30.78,-133.3967,2018-01-12,2018,1,12,0.15,Egger_2020_SR,577903311559065599,582389319000391679,586889620092878847,591392944842342399,4.343983425382744,0.00018397264649838582,0.0003504901808547165,5.3406101221834845e-05,8.861403232619467e-06,3.7379285488715475e-05,7.009803685172965e-05,1.0681220244366969e-05,1.7722806465238933e-06,0.0005967303318075567,0.000119930823231336,gm-3
12,30.78,-133.365,2018-01-12,2018,1,12,0.15,Egger_2020_SR,577903311559065599,582389319000391679,586889620092878847,591392944842342399,4.343983425382744,0.0007755229287962043,0.0005239867782172165,0.00014135819444640544,1.170584993362434e-05,0.00015756958173003413,0.00010479735666122657,2.8271638889281087e-05,2.3411699867248682e-06,0.0014525737513934507,0.0002929797472672667,gm-3
13,31.5483,-123.3117,2018-04-12,2018,4,12,0.15,Egger_2020_SR,577199624117288959,581690029605126143,586189780941799423,590693311849693183,9.346764145949122,3.165333101414957e-05,3.76196696982102e-05,0.0,0.0,1.968494059200016e-05,1.065810478334601e-05,0.0,0.0,6.927300071235976e-05,3.034304537534617e-05,gm-3
14,31.525,-123.31,2018-04-12,2018,4,12,0.15,Egger_2020_SR,577199624117288959,581690029605126143,586189780941799423,590693311849693183,9.346764145949122,0.0,0.0,2.653402204523445e-06,0.0,0.0,0.0,5.485418543336007e-07,0.0,2.653402204523445e-06,5.485418543336007e-07,gm-3
15,31.5033,-123.3083,2018-04-12,2018,4,12,0.15,Egger_2020_SR,577199624117288959,581690029605126143,586189780941799423,590693311849693183,9.346764145949122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gm-3
